اسم الجهة الحكومية,نوع الفعالية,عنوان الفعالية,تاريخ بداية الفعالية,تاريخ نهاية الفعالية,نوع الموقع,موقع الفعالية,المدينة,رقم الطلب
الهيئة السعودية للمواصفات والمقاييس والجودة,دورة تدريبية,دورة المقيم الداخلي وفق نموذج التميز لجائزة الملك عبدالعزيز للجودة,2/11/2026,2/12/2026,فنادق,فندق هيلتون دبل ثري المروج,الرياض,GOV-2026-0453
جامعة الملك فهد للبترول و المعادن,ورشة عمل,اللقاء السنوي للجهات المتعاونة في برنامج ارامكو التطوعي,2/11/2026,2/11/2026,فنادق,قاعة السلطانة 2,الخبر,GOV-2026-0454
وزارة السياحة,ورشة عمل,أعمال التوعية السبرانية لضيوف الرحمن أثناء موسم الحج والعمرة,2/12/2026,2/12/2026,فنادق,دبل تري من هيلتون جدة الأندلس مول,جدة,GOV-2026-0455
صندوق الشهداء والمصابين والأسرى والمفقودين,اجتماع,اجتماع قيادات الصندوق لمراجعة استراتيجية الصندوق,2/15/2026,2/15/2026,فنادق,فندق موفمبيك الرياض - الدائري الشمالي,الرياض,GOV-2026-0456
مركز التامين الصحي الوطني,اجتماع,اللقاء السنوي للقطاع,2/12/2026,2/12/2026,فنادق,فندق ماريوت,الرياض,GOV-2026-0457
المركز الوطني للتفتيش والرقابة,اجتماع,الاجتماع السنوي,2/12/2026,2/12/2026,فنادق,الريتز كارلتون,الرياض,GOV-2026-0458
الهيئة السعودية لتنظيم الكهرباء,ورشة عمل,الورشة الختامية لمشروع تحديث كود التوزيع السعودي,2/16/2026,2/16/2026,فنادق,فندق فوكو,الرياض,GOV-2026-0459
وزارة الموارد البشرية والتنمية الاجتماعية,ورشة عمل,ورشة عمل الاستراتيجية لتمكين العمل الحر والمرن,2/16/2026,2/16/2026,فنادق,هيلتون الرياض,الرياض,GOV-2026-0464
وزارة السياحة,ورشة عمل,ورشة أعمال التوعية السيبرانية لضيوف الرحمن لموسمي الحج والعمرة,2/15/2026,2/15/2026,فنادق,فندق بلتمور المدينة المنورة,المدينة المنورة,GOV-2026-0466
البرنامج الوطني لتطوير قطاع الثروة الحيوانية والسمكية,ورشة عمل,ورشة عمل توطني اللقاحات,2/16/2026,2/16/2026,غرف اجتماعات مستقله,وزارة البيئة والمياه والزراعة,الرياض,GOV-2026-0473
هيئة التأمين,ورشة عمل,لقاء شركات التأمين,2/16/2026,2/16/2026,فنادق,فندق موفنبيك الرياض,الرياض,GOV-2026-0474
المركز الوطني للوقاية من الآفات النباتية والأمراض الحيوانية ومكافحتها وقاء,اجتماع,اجتماع الرئيس التنفيذي بفرع المدينة المنورة,2/15/2026,2/15/2026,فنادق,ميريديان المدينة,المدينة المنورة,GOV-2026-0475
وزارة الشؤون الإسلامية والدعوة والإرشاد,اجتماع,المسابقة المحلية لحفظ القرآن الكريم,2/12/2026,2/18/2026,فنادق,النارسيس العليا,الرياض,GOV-2026-0478
وزارة البلديات والاسكان,ورشة عمل,فعالية التقييم,2/15/2026,2/15/2026,فنادق,فندق هيلتون جاردن ان,الرياض,GOV-2026-0485
جامعة الملك عبدالله للعلوم والتقنية,اجتماع,اجتماع المنصة الوطنية لبيانات وتكنولوجيا الصحة,2/15/2026,2/15/2026,فنادق,فندق هيلتون الرياض,الرياض,GOV-2026-0486
جامعة الملك عبدالله للعلوم والتقنية,ورشة عمل,ورشة مجموعة عمل برنامج التعاون الصناعي بكاوست KICP,2/16/2026,2/16/2026,فنادق,فندق هيلتون الرياض,الرياض,GOV-2026-0487
المعهد الوكني للتطوير المهني التعليمي,ورشة عمل,الثقافة المؤسسية,2/17/2026,2/17/2026,فنادق,فندق ماريوت الرياض,الرياض,GOV-2026-0493
جامعة المجمعة,دورة تدريبية,الابداع والابتكار في العمل,2/23/2026,2/25/2026,فنادق,هوليدي ان الازدهار,الرياض,GOV-2026-0496
جامعة المجمعة,دورة تدريبية,إعداد التقارير بإستخدام Power BI,3/8/2026,3/12/2026,فنادق,هوليدي ان الازدهار,الرياض,GOV-2026-0497
جامعة الملك سعود,ورشة عمل,زمالة أهّل,2/21/2026,2/21/2026,فنادق,ماندارين اورنتيل الفيصلية,الرياض,GOV-2026-0498
امارة منطقة القصيم,اجتماع,مبادرة عون لكم,2/27/2026,2/27/2026,مرافق عامة,بلدة النفيد التراثية برياض الخبراء,رياض الخبراء,GOV-2026-0511
الهيئة السعودية لتنظيم الكهرباء,اجتماع,اجتماع رمضاني سنوي لمنسوبي الهيئة السعودية لتنظيم الكهرباء,3/1/2026,3/1/2026,فنادق,فندق سوفيتيل,الرياض,GOV-2026-0515
جامعة الملك سعود,ورشة عمل,زمالة أهّل,2/28/2026,2/28/2026,فنادق,فندق ماندارين أورينتال الفيصلية,الرياض,GOV-2026-0516
الهيئة السعودية للمحامين,اجتماع,اجتماع المحامين الرمضاني,3/7/2026,3/8/2026,فنادق,هيلون جدة,جدة,GOV-2026-0532
بنك التنمية الاجتماعية,ورشة عمل,هاكثون وعد الشمال,4/7/2026,4/11/2026,صالات المناسبات,قاعة الاهالي بعرعر,عرعر,GOV-2026-0533
هيئة الصحة العامة,دورة تدريبية,دورة الوبائيات الحقلي FETP PHEP لمتلازمة الشرق الأوسط التنفسية MERS  CoV في الحج والعمرة,3/31/2026,4/2/2026,فنادق,جدة- فندق فوكو بوابة جدة,جدة,GOV-2026-0551
الهيئة الوطنية للأمن السيبراني,ورشة عمل,تمرين الأمن السيبراني لموسم حج ١٤٤٧هـ,4/29/2026,4/30/2026,مراكز معارض و مؤتمرات,فندق الريتز كارلتون,جدة,GOV-2026-0553
وزارة المالية,دورة تدريبية,برنامج الرقابة الذاتية,4/5/2026,4/9/2026,فنادق,فندق بريرا النخيل,الرياض,GOV-2026-0558
وزارة المالية,دورة تدريبية,برنامج كشف التواطؤ في المنافسات الحكومية,4/5/2026,4/7/2026,فنادق,فندق بريرا النخيل,الرياض,GOV-2026-0559
الأمانة العامة لمجلس شؤون الجامعات,ورشة عمل,ورشة تعزيز الجاهزية المؤسسية للانتقال لمراكز البحوث الانتقالية,4/2/2026,4/2/2026,فنادق,كراون بلازا الرياض فندق ومركز مؤتمرات.,الرياض,GOV-2026-0564
وزارة المالية,دورة تدريبية,برنامج كشف التواطؤ في المنافسات الحكومية,4/12/2026,4/16/2026,فنادق,فندق بريرا النخيل,الرياض,GOV-2026-0565
وزارة المالية,دورة تدريبية,برنامج كشف التواطؤ في المنافسات الحكومية,4/19/2026,4/21/2026,فنادق,فندق بريرا النخيل,الرياض,GOV-2026-0567
الإتحاد السعودي لكرة القدم,دورة تدريبية,دورة رخصة C الآسيوية للسيدات,3/30/2026,4/2/2026,فنادق,"جدة, ويسترن بلس , شارع أبي هيثم الأنصاري",جدة,GOV-2026-0569
المركز السعودي للتحكيم التجاري,دورة تدريبية,دورة الوساطة,4/4/2026,4/8/2026,فنادق,راديسون بلو العليا,الرياض,GOV-2026-0572
المؤسسة العامة لجسر الملك فهد,دورة تدريبية,إدارة العمليات والاستجابة,4/5/2026,4/9/2026,فنادق,فندق هيلتون الخبر - جسر الملك فهد,الخبر,GOV-2026-0573
وزارة المالية,دورة تدريبية,برنامج الرقابة الذاتية,4/12/2026,4/16/2026,فنادق,فندق بريرا النخيل,الرياض,GOV-2026-0574
وزارة المالية,دورة تدريبية,برنامج الرقابة الذاتية,4/19/2026,4/23/2026,فنادق,فندق بريرا النخيل,الرياض,GOV-2026-0575
وزارة المالية,دورة تدريبية,برنامج الرقابة الذاتية,4/12/2026,4/16/2026,فنادق,فندق بريرا النخيل,الرياض,GOV-2026-0576
الهيئة العامة للمعارض والمؤتمرات,اجتماع,اللقاء السنوي لمنسوبي الهيئة العامة للمعارض والمؤتمرات,4/2/2026,4/2/2026,مرافق عامة,منتجع ماربيلا الدرعية,الرياض,GOV-2026-0577
جامعة الملك عبدالعزيز,اجتماع,لقاء تطويري مع مستشاري مركز تطوير التعليم الجامعي,4/4/2026,4/4/2026,فنادق,فندق فوربوينتس شيراتون جدة,جدة,GOV-2026-0581
وزارة المالية,دورة تدريبية,برنامج كشف التواطؤ في المنافسات الحكومية,4/26/2026,4/28/2026,فنادق,فندق بريرا النخيل,الرياض,GOV-2026-0582
وزارة المالية,ورشة عمل,برنامج كشف التواطؤ في المنافسات الحكومية,5/3/2026,5/5/2026,فنادق,فندق بريرا النخيل,الرياض,GOV-2026-0583
الهيئة السعودية للمواصفات والمقاييس والجودة,دورة تدريبية,المقيم الداخلي وفق نموذج جائزة الملك عبدالعزيز للجودة,4/5/2026,4/9/2026,فنادق,فندق موفنبيك سيتي ستار جدة,جدة,GOV-2026-0584
وزارة الصحة,ورشة عمل,ورشة عمل,4/2/2026,4/2/2026,فنادق,فندق موفنبيك الرياض,الرياض,GOV-2026-0585
الهيئة العامة للعناية بشؤون المسجد الحرام والمسجد النبوي,ورشة عمل,ورشة عمل خطة التحول,4/2/2026,4/2/2026,فنادق,فندق هيلتون جدة,جدة,GOV-2026-0586
وزارة الثقافة,ورشة عمل,ورشة عمل نقل المعرفة,4/9/2026,4/9/2026,فنادق,فندق دبل تري / المركز المالي / طريق الدائري الشمالي,الرياض,GOV-2026-0589
هيئة الأفلام,دورة تدريبية,تدريب معتمد في مجال الذكاء الاصطناعي للمحترفين,5/6/2026,5/7/2026,فنادق,كروان بلازا الرياض فندق ومركز ومؤتمرات,الرياض,GOV-2026-0590
الهيئة السعودية للمقيّمين المعتمدين,دورة تدريبية,دورات تدريبية لمنتسبي الهيئة السعودية للمقيّمين المعتمدين,4/5/2026,4/16/2026,فنادق,فندق التنفيذيين الفندقية,الرياض,GOV-2026-0591
المدينة الطبية الجامعية,معرض توعوي,الشهر العالمي لسرطان الفم,4/10/2026,4/11/2026,مراكز تجارية,الحياة مول,الرياض,GOV-2026-0592
الهيئة السعودية للسياحة,ورشة عمل,برنامج إدارة الأفراد والأداء,4/12/2026,4/16/2026,فنادق,الكورت يارد - السفارات,الرياض,GOV-2026-0593
هيئة الزكاة والضريبة والجمارك,دورة تدريبية,التقييم الجمركي,4/5/2026,4/7/2026,فنادق,فوكو الخبر,الخبر,GOV-2026-0594
هيئة الزكاة والضريبة والجمارك,دورة تدريبية,تنمية مهارات الحس الأمني,4/8/2026,4/9/2026,فنادق,فوكو,الخبر,GOV-2026-0595
هيئة الزكاة والضريبة والجمارك,دورة تدريبية,إدارة المخاطر الجمركية والاستهداف,4/12/2026,4/14/2026,فنادق,فوكو,الخبر,GOV-2026-0596
هيئة الزكاة والضريبة والجمارك,دورة تدريبية,تحليل صور الاشعة السينية للحاويات والمركبات والطرود,4/5/2026,4/6/2026,فنادق,فوكو,الخبر,GOV-2026-0597
هيئة الزكاة والضريبة والجمارك,دورة تدريبية,مهارات العرض والالقاء,4/5/2026,4/7/2026,فنادق,فيتوري بالاس,الرياض,GOV-2026-0598
هيئة الزكاة والضريبة والجمارك,دورة تدريبية,لين سيجما الحزام الاصفر,4/21/2026,4/23/2026,فنادق,فيتوري بالاس,الرياض,GOV-2026-0599
هيئة الزكاة والضريبة والجمارك,دورة تدريبية,تحليلات البيانات باستخدام الذكاء الاصطناعي,4/12/2026,4/14/2026,فنادق,فيتوري بالاس,الرياض,GOV-2026-0601
وزارة البيئة والزراعة والمياة,دورة تدريبية,إدارة الطوارئ والأزمات,4/5/2026,4/9/2026,فنادق,فندق فيتوري بالاس,الرياض,GOV-2026-0606
وزارة البيئة والمياه والزراعة,معرض توعوي,أسبوع البيئة,5/3/2026,5/9/2026,مراكز معارض و مؤتمرات,ساحة العروض بالدائري الشرقي,الرياض,GOV-2026-0607
هيئة تقويم التعليم والتدريب,ورشة عمل,ورشة رخص المعلمين التربوي,4/12/2026,4/13/2026,فنادق,فندق بريرا,الرياض,GOV-2026-0608
