اسم الجهة الحكومية,نوع الفعالية,عنوان الفعالية,تاريخ بداية الفعالية,تاريخ نهاية الفعالية,نوع الموقع,موقع الفعالية,المدينة,رقم الطلب
المركز السعودي لكفاءة الطاقة,دورة تدريبية,كفاءة الطاقة في العمليات الصناعية الصغيرة و المتوسطة EEIP,5/19/2026,5/21/2026,فنادق,فوكو الخبر,الخبر,GOV-2026-0992
مستشفي الملك فيصل التخصصي ومركز الابحاث جدة,ورشة عمل,اهمية التعليم المشترك التداخلي بين المهنيين في مجال الرعاية الصحية,6/10/2026,6/10/2026,فنادق,فندق موفمبيك التحلية,جدة,GOV-2026-0993
الاتحاد السعودي لكرة القدم,ورشة عمل,قرعة دوري الدرجة الثانية و الثالثة,5/20/2026,5/20/2026,فنادق,ماريوت مطار الرياض,الرياض,GOV-2026-0994
الهيئة السعودية لتنظيم الكهرباء,مؤتمر,المؤتمر السنوي للجمعية الإقليمية لمنظمي الطاقة ERRA,2/1/2027,2/3/2027,فنادق,الفورسيزون,الرياض,GOV-2026-0995
الهيئة الملكية بينبع,محاضرة,العودة من الظل,6/9/2026,6/9/2026,مراكز معارض و مؤتمرات,مدينة ينبع الصناعية - مركز الملك فهد الحضاري.,ينبع الصناعية,GOV-2026-0996
سدايا,دورة تدريبية,برنامج تصنيف البيانات,5/19/2026,5/19/2026,فنادق,فوكو الرياض,الرياض,GOV-2026-0997
الاتحاد السعودي لكره القدم,اجتماع,جتماع اداري المنتخب,5/21/2026,5/21/2026,فنادق,فندق ماريوت المطار,الرياض,GOV-2026-0998
الاتحاد السعودي لكرة القدم,مؤتمر,مؤتمر صحفي,5/23/2026,5/23/2026,فنادق,فندق سوفتيل الرياض,الرياض,GOV-2026-0999
مستشفيات القوات المسلحة بمنطقة الطائف,مؤتمر,المؤتمر السنوي لمستجدات طب الاطفال,6/11/2026,6/12/2026,فنادق,فندق الانتركونتيننتال بالطائف,الطائف,GOV-2026-1002
جامعة الملك خالد,دورة تدريبية,القانون الإداري المتقدم,6/14/2026,6/25/2026,فنادق,فندق غاليريا,جدة,GOV-2026-1003
جامعة الملك خالد,دورة تدريبية,صيانة الرافعات الشوكية والكهربائية,6/14/2026,6/18/2026,فنادق,فندق عابر,الرياض,GOV-2026-1004
جامعة الملك خالد,دورة تدريبية,أساسيات البرمجة  وبناء الحلول الرقمية,6/14/2026,6/25/2026,فنادق,فندق الماريوت,الخبر,GOV-2026-1005
وزاره البلديات والاسكان,ورشة عمل,وعي واستدامه,6/17/2026,6/19/2026,فنادق,فندق نارسيس العليا,الرياض,GOV-2026-1006
الاكاديمية السعودية اللوجستية,اجتماع,اجتماع خريجي الأكاديمية السعودية اللوجستية,6/9/2026,6/9/2026,فنادق,هيلتون الرياض,الرياض,GOV-2026-1009
الاكاديمية المالية,دورة تدريبية,الوحدة الثانية لبرنامج عضو مجلس الإدارة المعتمد  عضو مجلس الإدارة الفعّال,6/8/2026,6/9/2026,فنادق,فندق لو ميريديان الرياض,الرياض,GOV-2026-1010
الاكاديمية المالية,دورة تدريبية,برنامج عضو مجلس الإدارة المعتمد  الوحدة الثالثة مجلس الإدارة الفعّال,6/21/2026,6/22/2026,فنادق,فندق لو ميريديان الرياض,الرياض,GOV-2026-1011
الاكاديمية المالية,دورة تدريبية,CBD برنامج عضو مجلس الإدارة المعتمد  الوحدة الرابعة المالية والمحاسبة والتقارير المؤسسية,6/23/2026,6/24/2026,فنادق,فندق لو ميريديان الرياض,الرياض,GOV-2026-1012
الاكاديمية المالية,دورة تدريبية,CBSP  برنامج أمين مجلس الإدارة المعتمد  الوحدة الرابعة الاستراتيجية وإدارة المخاطر,7/12/2026,7/16/2026,فنادق,فندق فوكو الرياض,الرياض,GOV-2026-1013
بنك التصدير والاستيراد السعودي,ورشة عمل,Ai Workshop,6/8/2026,6/8/2026,فنادق,فيرمونت الرياض,الرياض,GOV-2026-1014
الهيئة السعودية لتنظيم الكهرباء,ورشة عمل,إعداد كراسات الشروط والمواصفات ومعايير التقديم,6/9/2026,6/11/2026,فنادق,نارسس التحلية,الرياض,GOV-2026-1015
الهيئة السعودية لتنظيم الكهرباء,ورشة عمل,المفاهيم الأساسية حول أنظمة الطاقة الكهربائية,6/15/2026,6/17/2026,فنادق,نارسس ذا رويال,الرياض,GOV-2026-1016
معهد الطاقة,دورة تدريبية,برنامج إدارة التحول في قطاع الطاقة المشتركة,6/14/2026,6/18/2026,فنادق,فندق الموفنبيك,الرياض,GOV-2026-1017
المركز الوطني للتخصيص,مؤتمر,المؤتمر الدولي للتخصيص,10/5/2026,10/12/2026,مراكز معارض و مؤتمرات,مركز الملك عبدالعزيز للمؤتمرات,الرياض,GOV-2026-1018
المركز الوطني لتنمية الغطاء النباتي ومكافحة التصحر,منتدى,اليوم العالمي لمكافحة التصحر والجفاف,6/15/2026,6/17/2026,مراكز معارض و مؤتمرات,مركز الجوف الحضاري,الجوف,GOV-2026-1019
وزاوة الموارد البشرية والتنمية الاجتماعية,معرض تعريفي,معرض تمكين,6/14/2026,6/16/2026,مراكز معارض و مؤتمرات,مركز الرياض الدولي للمعارض والمؤتمرات,الرياض,GOV-2026-1021
فرع وزارة الموارد البشرية والتنمية الاجتماعية بمنطقة مكة المكرمة,مؤتمر,المسؤولية الاجتماعية للشركات محور الاهتمام وجوهر القيادة,6/17/2026,6/17/2026,فنادق,فندق الرتزكارلتون,مكة المكرمة,GOV-2026-1023
الهيئة العامة للترفيه,دورة تدريبية,برامج تدريبية جماعية برامج متعددة في تواريخ مختلفة,6/14/2026,8/3/2026,فنادق,فندق فيرمونت رملة,الرياض,GOV-2026-1025
الهيئة السعودية للبيانات والذكاء الاصطناعي,ورشة عمل,مناقشة استراتيجية قطاع الخدمات المشتركة,6/15/2026,6/15/2026,فنادق,الرياض- المشرق,الرياض,GOV-2026-1026
الهيئة الملكية لمدينة مكة المكرمة والمشاعر المقدسة,اجتماع,استطلاع مرئيات مقدمي خدمة الرعاية الصحية مستشفى الطوارئ بالمنطقة المركزية,6/16/2026,6/16/2026,فنادق,فندق كراون بلازة,الرياض,GOV-2026-1027
وزارة النقل والخدمات اللوجستية,دورة تدريبية,تحليل البيانات باستخدام الذكاء الاصطناعي,6/28/2026,6/30/2026,فنادق,فندق روتانا سنترو,الرياض,GOV-2026-1031
وزارة البيئة والمياه والزراعة,معرض تعريفي,المعرض التعريفي السنوي للمانجو,7/1/2026,7/4/2026,مرافق عامة,منتزة الدقم بمحافظة أملج,أملج,GOV-2026-1032
وزارة الصحة,ورشة عمل,ورشة عمل إنقاذ حياة,6/24/2026,6/24/2026,فنادق,فندق كراون بلازا المدينة الرقمية,الرياض,GOV-2026-1033
هيئة تقويم التعليم والتدريب,دورة تدريبية,برنامج تأهيل المراجعيين,6/21/2026,6/25/2026,فنادق,فندق بريرا قرطبة,الرياض,GOV-2026-1035
هيئة تقويم التعليم والتدريب,ورشة عمل,الرؤى التطويرية لعمليات التقويم والتصنيف ولاعتماد المدرسي,6/23/2026,6/23/2026,فنادق,فندق فوكو الرياض,الرياض,GOV-2026-1036
الهيئة السعودية للمواصفات والمقاييس والجودة,دورة تدريبية,المقيم الداخلي وفق نموذج التميز لجائزة الملك عبدالعزيز للجودة,6/21/2026,6/25/2026,فنادق,فندق الموفنبيك سيتي ستار,جدة,GOV-2026-1037
جامعة المجمعة,دورة تدريبية,اساسيات الذكاء الاصطناعي,6/24/2026,6/25/2026,فنادق,فندق هوليدي إن- الازدهار,الرياض,GOV-2026-1040
وزارة المالية,دورة تدريبية,الرقابة الذاتية,6/21/2026,6/25/2026,فنادق,هيليتون,الرياض,GOV-2026-1041
الهيئة الملكية لمدينة مكة الكرمة,ورشة عمل,توقيع اتفاقيات الترسية لبرنامج الأحياء المطورة,6/24/2026,6/24/2026,فنادق,فيرمونت الرياض قاعة مراسم,الرياض,GOV-2026-1042
برنامج خدمة ضيوف الرحمن,ورشة عمل,ورشة عمل تحديات خدمة مسافر بلا حقيبة,6/23/2026,6/23/2026,فنادق,فندق الدار البيضاء مدينة جدة,مكة المكرمة,GOV-2026-1043
المعهد الملكي للفنون التقليدية,معرض تعريفي,صيف ورث الرياض,7/16/2026,7/18/2026,مراكز تجارية,رياض بارك,الرياض,GOV-2026-1044
"المعهد الملكي للفنون التقليدية، ورث",معرض تعريفي,صيف ورث حائل,7/23/2026,7/25/2026,مرافق عامة,بيت الثقافة,حائل,GOV-2026-1045
"المعهد الملكي للفنون التقليدية، ورث",معرض تعريفي,صيف ورث أبها,7/30/2026,8/1/2026,مراكز تجارية,الراشد مول,ابها,GOV-2026-1046
جامعة الملك عبدالله للعلوم و التقنية,اجتماع,اجتماع عمل حول المغنيسيوم المستخلص من المحلول الملحي,7/1/2026,7/1/2026,فنادق,فيرمونت رياض,الرياض,GOV-2026-1048
جامعة القصيم,معرض توعوي,التوعية بامراض الكلى المزمنه,6/24/2026,6/26/2026,مراكز تجارية,منتجع نخلا,بريدة,GOV-2026-1049
وزارة الثقافة,ورشة عمل,مخرجات التعليم في بيت العود السعودي بهيئة الموسيقى,7/6/2026,7/7/2026,مرافق عامة,النادي الأدبي بالرياض/ حي الملز / شارع عبد الله الهمذاني,الرياض,GOV-2026-1050
وزارة الثقافة,ورشة عمل,مخرجات التعليم في بيت العود السعودي بهيئة الموسيقى,7/6/2026,7/7/2026,مرافق عامة,النادي الأدبي بالرياض/ حي الملز / شارع عبد الله الهمذاني,الرياض,GOV-2026-1050
هيئة تقويم التعليم والتدريب,دورة تدريبية,برنامج تدريبي لاخصائي التقويم المدرسي,6/28/2026,6/29/2026,فنادق,فندق بريرا قرطبة,الرياض,GOV-2026-1051
هيئة تقويم التعليم والتدريب,دورة تدريبية,البرنامج التدريبي لاخصائي التقويم المدرسي,7/5/2026,7/6/2026,فنادق,فندق بريرا قرطبة,الرياض,GOV-2026-1052
الهيئة العامة للاحصاء,منتدى,المنتدى السعودي للاحصاء الثاني,11/9/2026,11/9/2026,فنادق,فندق سوفيتل,الرياض,GOV-2026-1053
الهيئة العامة للاحصاء,منتدى,المنتدى العالمي للبيانات السادس,11/10/2026,11/12/2026,فنادق,فندق سوفتيل,الرياض,GOV-2026-1054
معهد الاستشارات وحلول الاعمال جامعة الامير سطام بن عبدالعزيز,ورشة عمل,ورشة عمل للقيادات التنفيذية,7/5/2026,7/5/2026,فنادق,فندق هوليداي ان حي الاعمال للايواء,الرياض,GOV-2026-1056
الشؤون الصحية بالحرس الوطني,مؤتمر,الأسبوع السعودي للأمراض المعدية,11/6/2026,11/10/2026,مراكز معارض و مؤتمرات,فندق كراون بلازا ار دي سي,الرياض,GOV-2026-1058
هيئة الحكومة الرقمية,دورة تدريبية,تحسين الظهور على محركات البحث للمواقع الإلكترونية,7/27/2026,7/29/2026,فنادق,فندق لو مريديان,الرياض,GOV-2026-1059
هيئة الحكومة الرقمية,ورشة عمل,برنامج الذكاء الاصطناعي التوليدي للتنفيذيين,7/13/2026,7/13/2026,فنادق,حياة ريجنسي,الرياض,GOV-2026-1061
هيئة المسرح والفنون الادائية,اجتماع,اجتماع كرسي ابراهيم القاضي البحثي,7/21/2026,7/23/2026,غرف اجتماعات مستقله,مركز صالح بن صالح الاجتماعي,عنيزة,GOV-2026-1062
الهيئة السعودية للبيانات والذكاء الاصطناعي  سدايا,منتدى,منتدى اليونسكو العالمي الرابع لأخلاقيات الذكاء الاصطناعي,9/14/2026,9/17/2026,فنادق,فندق الريتز كارلتون,الرياض,GOV-2026-1064
الاكاديمية السعودية اللوجستية,دورة تدريبية,قيادة سلاسل الإمداد والتموين,7/12/2026,7/16/2026,فنادق,فندق راديسون,الرياض,GOV-2026-1065
وزارة الثقافة,اجتماع,مبادرة الشريك الأدبي,7/24/2026,7/24/2026,مرافق عامة,مركز الملك فهد الثقافي _ حي الرفيعه _طريق الامير فيصل بن فهد,الرياض,GOV-2026-1069
وزارة النقل والخدمات اللوجستية,دورة تدريبية,القيادة الفعالة قيادة الذات والأفراد والمنظمات,7/14/2026,7/16/2026,فنادق,فندق روتانا سنترو الواحة,الرياض,GOV-2026-1070
وزارة النقل والخدمات اللوجستية,دورة تدريبية,قيادة التغيير,8/9/2026,8/11/2026,فنادق,روتانا سنترو الواحة,الرياض,GOV-2026-1071
الاتحاد السعودي للهجن,منتدى,منتدى الطائف حول الهجن في التراث والإعلام,9/5/2026,9/6/2026,فنادق,فندق أريديوم الطائف,الطائف,GOV-2026-1073
الاكاديمية السعودية اللوجستية,دورة تدريبية,إدارة التكلفة,7/26/2026,7/30/2026,فنادق,فندق راديسون,الرياض,GOV-2026-1074
